listing_url,car_code,car_model,price,brand,fuel_type,engine_type,battery_type,drive_type,transmission,power_kw,torque_nm,top_speed_kmh,vehicle_type,seating_capacity,boot_capacity_litres,battery_capacity_kwh,drive_range_km,energy_consumption_km_per_kwh,ac_charging_rate_kw,ac_charging_time_h,dc_charging_rate_kw,dc_charging_time_h,fuel_tank_capacity_litres,mileage
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12943,12943,Mercedes-Benz Maybach GLS-Class 1 Auto Cars Edition,1168988.0,Mercedes-Benz,Petrol,V8,,All-wheel drive,9G-Tronic (A),410.0,730.0,,SUV,,465.0,,,,,,,,90.0,7.5
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21873,21873,BYD Sealion 7 Electric,211388.0,BYD,Electric,Electric Motor,Blade Battery,Rear-wheel drive,Single-Speed (A),230.0,380.0,215.0,SUV,5.0,500.0,82.5,480.0,5.0,11.0,,150.0,1.0,,
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21508,21508,BYD Atto 3 Electric,164388.0,BYD,Electric,Permanent Magnet Synchronous Motor,BYD Blade Battery,Front-wheel drive,Single-speed (A),100.0,310.0,160.0,SUV,5.0,4401340.0,60.5,420.0,6.25,6.6,9.5,88.0,1.2,,
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21847,21847,BYD M6 Electric,164388.0,BYD,Electric,Electric Motor,Blade Battery,Front-wheel drive,Single-speed (A),100.0,250.0,180.0,MPV,7.0,180580.0,71.8,440.0,5.35,7.0,13.0,115.0,1.2,,
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21738,21738,BYD Seal Electric,178388.0,BYD,Electric,Electric Motor,Blade Battery,Rear-wheel drive,Single-speed (A),100.0,310.0,180.0,Sedan,5.0,400.0,61.44,460.0,6.5,7.0,8.6,110.0,0.5,,
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12847,12847,Tesla Model 3 Electric,181132.0,Tesla,Electric,Electric Motor,Lithium Iron Phosphate,Rear-wheel drive,Single-speed (A),110.0,350.0,201.0,Sedan,5.0,682.0,60.0,513.0,7.6,11.0,5.5,170.0,,,
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12618,12618,Toyota Corolla Altis,163888.0,Toyota,Petrol,4-cylinder in-line 16-valve Dual VVT-i,,Front-wheel drive,CVT (A),96.0,159.0,190.0,Sedan,5.0,468.0,,,,,,,,50.0,15.6
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21610,21610,Honda Stepwagon Hybrid,204800.0,Honda,Petrol-Electric,4-cylinder in-line,Lithium ion,Front-wheel drive,E-CVT (A),107.0,175.0,184.0,MPV,7.0,,,,,,,,,52.0,19.6
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12892,12892,Honda Vezel,157100.0,Honda,Petrol,4-cylinder in-line DOHC i-VTEC,,Front-wheel drive,CVT (A),87.0,142.0,,SUV,5.0,,,,,,,,,40.0,17.0
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21882,21882,Honda WR-V,148600.0,Honda,Petrol,4-cylinder in-line 16-valve DOHC i-VTEC,,Front-wheel drive,CVT (A),87.0,142.0,160.0,SUV,5.0,380.0,,,,,,,,40.0,16.4
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12790,12790,Toyota Yaris Cross Hybrid,154600.0,Toyota,Petrol-Electric,3-cylinder in-line,Lithium ion,Front-wheel drive,E-CVT (A),67.0,120.0,,SUV,5.0,390.0,,,,,,,,36.0,30.8
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21910,21910,Honda Freed Hybrid,165999.0,Honda,Petrol-Electric,4-cylinder in-line 16-valve DOHC i-VTEC,Lithium-ion,Front-wheel drive,E-CVT (A),78.0,253.0,,MPV,7.0,,,,,,,,,42.0,19.6
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21957,21957,Jaecoo J7 Plug-in Hybrid,230888.0,Jaecoo,Petrol-Electric,4-cylinder in-line Turbocharged,Lithium Iron Phosphate,Front-wheel drive,3-speed (A) DHT,105.0,525.0,180.0,SUV,5.0,5001265.0,,,,,,,,60.0,142.9
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21899,21899,XPENG G6 Electric,233999.0,XPENG,Electric,Electric Motor,Lithium Iron Phosphate,Rear-wheel drive,Single-speed (A),190.0,440.0,200.0,SUV,5.0,5711374.0,66.0,435.0,5.7,11.0,,215.0,,,
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21854,21854,Omoda E5 Electric,161888.0,Omoda,Electric,Electric Motor,Lithium Iron Phosphate,Front-wheel drive,Single-speed (A),99.0,340.0,172.0,SUV,5.0,380.0,61.0,626.0,6.5,9.9,8.0,80.0,0.5,,
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21589,21589,Honda Freed,174000.0,Honda Past Cars,Petrol,4-Cylinder in-line DOHC i-VTEC,,Front-wheel drive,CVT (A),96.0,155.0,,MPV,7.0,,,,,,,,,36.0,16.9
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21750,21750,Maxus eDeliver 3 Electric,,Maxus Past Cars,Electric,Synchronous Permanent Magnet Electric Motors,Lithium-ion,Front-wheel drive,Single-speed (A),90.0,255.0,120.0,Commercial,2.0,4800.0,52.5,340.0,4.3,7.0,7.5,50.0,1.1,,
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21814,21814,BMW 4 Series Gran Coupe,,BMW Past Cars,Petrol,4-cylinder in-line 16-valve TwinPower Turbocharged,,Rear-wheel drive,8-speed (A) Steptronic Sport,135.0,300.0,235.0,Luxury Sedan,5.0,4701290.0,,,,,,,,59.0,13.5
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11657,11657,Audi TT Coupe,214800.0,Audi Past Cars,Petrol,4-cylinder in-line 16-valve Turbocharged,,Front-wheel drive,7-speed (A) S tronic,134.0,250.0,241.0,Sports,4.0,305.0,,,,,,,,50.0,16.9
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12032,12032,Audi Q2,150776.0,Audi Past Cars,Petrol,3-cylinder in-line 12-valve Turbocharged,,Front-wheel drive,7-speed (A) S tronic,85.0,200.0,197.0,SUV,5.0,405.0,,,,,,,,50.0,19.2
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12648,12648,Subaru Forester e-BOXER Mild Hybrid,182800.0,Subaru,Petrol-Electric,4-cylinder 16-valve DOHC Horizontally opposed,Lithium-ion,All-wheel drive,7-speed (A) Lineartronic CVT,110.0,194.0,188.0,SUV,5.0,5091779.0,,,,,,,,48.0,14.9
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21506,21506,Tesla Model Y Electric,219502.0,Tesla,Electric,Electric Motor,Lithium Iron Phosphate,Rear-wheel drive,Single-speed (A),255.0,450.0,201.0,SUV,5.0,2020.0,62.5,466.0,6.5,11.0,5.5,170.0,,,
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12861,12861,Honda Odyssey Hybrid,230900.0,Honda,Petrol-Electric,4-cylinder in-line,Lithium ion,Front-wheel drive,E-CVT (A),107.0,315.0,,MPV,7.0,,,,,,,,,55.0,20.0
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12741,12741,Toyota Harrier Hybrid,215900.0,Toyota,Petrol-Electric,4-cylinder in-line 16-valve DOHC VVT-iE,Lithium ion,Front-wheel drive,E-CVT (A),131.0,221.0,180.0,SUV,5.0,396.0,,,,,,,,55.0,22.7
https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=21608,21608,Kia Niro Hybrid,176999.0,Kia,Petrol-Electric,Smartstream 1.6,Lithium-ion,Front-wheel drive,DCT (A),78.0,265.0,165.0,SUV,5.0,451.0,,,,,,,,42.0,25.0
